,years,Daegu
2006-01-01,2006-01-01,57.38
2006-07-01,2006-07-01,57.41
2007-01-01,2007-01-01,56.95
2007-07-01,2007-07-01,56.01
2008-01-01,2008-01-01,55.34
2008-07-01,2008-07-01,54.59
2009-01-01,2009-01-01,52.59
2009-07-01,2009-07-01,52.67
2010-01-01,2010-01-01,53.32
2010-07-01,2010-07-01,53.73
2011-01-01,2011-01-01,56.2
2011-07-01,2011-07-01,60.04
2012-01-01,2012-01-01,63.82
2012-07-01,2012-07-01,64.94
2013-01-01,2013-01-01,67.06
2013-07-01,2013-07-01,71.22
2014-01-01,2014-01-01,75.58
2014-07-01,2014-07-01,77.72
2015-01-01,2015-01-01,80.97
2015-07-01,2015-07-01,85.07
2016-01-01,2016-01-01,85.19
2016-07-01,2016-07-01,83.73
2017-01-01,2017-01-01,82.97
2017-07-01,2017-07-01,83.37
2018-01-01,2018-01-01,84.51
2018-07-01,2018-07-01,85.73
2019-01-01,2019-01-01,86.44
2019-07-01,2019-07-01,86.13
2020-01-01,2020-01-01,86.98
2020-07-01,2020-07-01,89.38
2021-01-01,2021-01-01,97.24
2021-07-01,2021-07-01,100.65
2022-01-01,2022-01-01,99.42
