,years,Daejeon
2006-01-01,2006-01-01,54.59
2006-07-01,2006-07-01,53.47
2007-01-01,2007-01-01,52.76
2007-07-01,2007-07-01,52.06
2008-01-01,2008-01-01,52.25
2008-07-01,2008-07-01,52.59
2009-01-01,2009-01-01,52.55
2009-07-01,2009-07-01,54.36
2010-01-01,2010-01-01,57.14
2010-07-01,2010-07-01,59.09
2011-01-01,2011-01-01,64.31
2011-07-01,2011-07-01,69.9
2012-01-01,2012-01-01,69.81
2012-07-01,2012-07-01,68.12
2013-01-01,2013-01-01,68.32
2013-07-01,2013-07-01,68.29
2014-01-01,2014-01-01,68.7
2014-07-01,2014-07-01,68.74
2015-01-01,2015-01-01,69.03
2015-07-01,2015-07-01,69.05
2016-01-01,2016-01-01,68.96
2016-07-01,2016-07-01,69.01
2017-01-01,2017-01-01,69.32
2017-07-01,2017-07-01,69.84
2018-01-01,2018-01-01,70.49
2018-07-01,2018-07-01,71.01
2019-01-01,2019-01-01,72.27
2019-07-01,2019-07-01,75.11
2020-01-01,2020-01-01,81.77
2020-07-01,2020-07-01,88.66
2021-01-01,2021-01-01,96.69
2021-07-01,2021-07-01,103.58
2022-01-01,2022-01-01,104.74
