,years,Seoul
2006-01-01,2006-01-01,58.59
2006-07-01,2006-07-01,63.69
2007-01-01,2007-01-01,71.49
2007-07-01,2007-07-01,73.08
2008-01-01,2008-01-01,77.4
2008-07-01,2008-07-01,80.92
2009-01-01,2009-01-01,78.5
2009-07-01,2009-07-01,80.68
2010-01-01,2010-01-01,81.2
2010-07-01,2010-07-01,79.75
2011-01-01,2011-01-01,79.88
2011-07-01,2011-07-01,79.52
2012-01-01,2012-01-01,78.14
2012-07-01,2012-07-01,75.11
2013-01-01,2013-01-01,73.27
2013-07-01,2013-07-01,72.8
2014-01-01,2014-01-01,73.6
2014-07-01,2014-07-01,74.1
2015-01-01,2015-01-01,75.53
2015-07-01,2015-07-01,78.32
2016-01-01,2016-01-01,79.62
2016-07-01,2016-07-01,81.19
2017-01-01,2017-01-01,82.56
2017-07-01,2017-07-01,84.85
2018-01-01,2018-01-01,88.75
2018-07-01,2018-07-01,91.92
2019-01-01,2019-01-01,91.63
2019-07-01,2019-07-01,92.07
2020-01-01,2020-01-01,94.29
2020-07-01,2020-07-01,96.09
2021-01-01,2021-01-01,98.4
2021-07-01,2021-07-01,102.87
2022-01-01,2022-01-01,104.28
