,years,price
1965-01-01,1965-01-01,2.6
1966-01-01,1966-01-01,2.9
1967-01-01,1967-01-01,3.2
1968-01-01,1968-01-01,3.6
1969-01-01,1969-01-01,4.0
1970-01-01,1970-01-01,4.7
1971-01-01,1971-01-01,5.3
1972-01-01,1972-01-01,5.9
1973-01-01,1973-01-01,6.1
1974-01-01,1974-01-01,7.6
1975-01-01,1975-01-01,9.5
1976-01-01,1976-01-01,10.9
1977-01-01,1977-01-01,12.0
1978-01-01,1978-01-01,13.8
1979-01-01,1979-01-01,16.3
1980-01-01,1980-01-01,21.0
1981-01-01,1981-01-01,25.4
1982-01-01,1982-01-01,27.3
1983-01-01,1983-01-01,28.2
1984-01-01,1984-01-01,28.8
1985-01-01,1985-01-01,29.6
1986-01-01,1986-01-01,30.4
1987-01-01,1987-01-01,31.3
1988-01-01,1988-01-01,33.5
1989-01-01,1989-01-01,35.4
1990-01-01,1990-01-01,38.5
1991-01-01,1991-01-01,42.1
1992-01-01,1992-01-01,44.7
1993-01-01,1993-01-01,46.8
1994-01-01,1994-01-01,49.8
1995-01-01,1995-01-01,52.0
1996-01-01,1996-01-01,54.6
1997-01-01,1997-01-01,57.0
1998-01-01,1998-01-01,61.3
1999-01-01,1999-01-01,61.8
2000-01-01,2000-01-01,63.2
2001-01-01,2001-01-01,65.7
2002-01-01,2002-01-01,67.5
2003-01-01,2003-01-01,69.9
2004-01-01,2004-01-01,72.4
2005-01-01,2005-01-01,74.4
2006-01-01,2006-01-01,76.1
2007-01-01,2007-01-01,78.0
2008-01-01,2008-01-01,81.7
2009-01-01,2009-01-01,83.9
2010-01-01,2010-01-01,86.4
2011-01-01,2011-01-01,89.9
2012-01-01,2012-01-01,91.8
2013-01-01,2013-01-01,93.0
2014-01-01,2014-01-01,94.2
2015-01-01,2015-01-01,94.9
2016-01-01,2016-01-01,95.8
2017-01-01,2017-01-01,97.6
2018-01-01,2018-01-01,99.1
2019-01-01,2019-01-01,99.5
2020-01-01,2020-01-01,100.0
2021-01-01,2021-01-01,102.5
